time,src,dst,protocol,alert
19:20:41,52.13.54.113,192.168.29.110,6,
19:20:41,52.13.54.113,192.168.29.110,6,
19:20:41,52.13.54.113,192.168.29.110,6,
19:20:41,52.13.54.113,192.168.29.110,6,
19:20:41,52.13.54.113,192.168.29.110,6,
19:20:41,52.13.54.113,192.168.29.110,6,
19:20:41,52.13.54.113,192.168.29.110,6,
19:20:41,52.13.54.113,192.168.29.110,6,
19:20:41,52.13.54.113,192.168.29.110,6,
19:20:41,52.13.54.113,192.168.29.110,6,
19:20:41,192.168.29.110,52.13.54.113,6,
19:20:41,192.168.29.110,52.13.54.113,6,
19:20:41,192.168.29.110,52.13.54.113,6,
19:20:41,192.168.29.110,52.13.54.113,6,
19:20:41,192.168.29.110,52.13.54.113,6,
19:20:41,192.168.29.110,52.13.54.113,6,
19:20:41,192.168.29.110,52.13.54.113,6,
19:20:41,192.168.29.110,52.13.54.113,6,
19:20:41,192.168.29.110,52.13.54.113,6,
19:20:42,52.13.54.113,192.168.29.110,6,
19:20:42,52.13.54.113,192.168.29.110,6,
19:20:42,52.13.54.113,192.168.29.110,6,
19:20:42,52.13.54.113,192.168.29.110,6,
19:20:42,52.13.54.113,192.168.29.110,6,
19:20:42,52.13.54.113,192.168.29.110,6,
19:20:42,52.13.54.113,192.168.29.110,6,
19:20:42,52.13.54.113,192.168.29.110,6,
19:20:42,52.13.54.113,192.168.29.110,6,
19:20:42,52.13.54.113,192.168.29.110,6,
19:20:42,52.13.54.113,192.168.29.110,6,
19:20:42,52.13.54.113,192.168.29.110,6,
19:20:42,52.13.54.113,192.168.29.110,6,
19:20:42,52.13.54.113,192.168.29.110,6,
19:20:42,192.168.29.110,52.13.54.113,6,
19:20:42,192.168.29.110,20.42.73.28,6,
19:20:42,20.42.73.28,192.168.29.110,6,
19:20:42,192.168.29.1,224.0.0.1,2,
19:20:42,192.168.29.110,170.72.239.201,6,
19:20:42,170.72.239.201,192.168.29.110,6,
19:20:42,170.72.239.201,192.168.29.110,6,
19:20:42,192.168.29.110,170.72.239.201,6,
19:20:42,192.168.29.1,239.255.255.250,17,⚠️ ML Flagged as Anomaly
19:28:26,192.168.29.110,162.159.136.234,6,
19:28:26,162.159.136.234,192.168.29.110,6,
19:28:26,162.159.136.234,192.168.29.110,6,
19:28:26,192.168.29.110,162.159.136.234,6,
19:28:27,192.168.29.110,13.89.179.10,6,
19:28:27,192.168.29.110,13.89.179.10,6,
19:28:27,192.168.29.110,13.89.179.10,6,
19:28:27,192.168.29.110,13.89.179.10,6,
19:28:27,192.168.29.110,13.89.179.10,6,
19:28:27,192.168.29.110,13.89.179.10,6,
19:28:27,192.168.29.1,224.0.0.1,2,
19:28:27,192.168.29.110,224.0.0.22,2,
19:28:27,13.89.179.10,192.168.29.110,6,
19:28:27,13.89.179.10,192.168.29.110,6,
19:28:27,13.89.179.10,192.168.29.110,6,
19:28:27,192.168.29.110,13.89.179.10,6,
19:28:27,192.168.29.110,13.89.179.10,6,
19:28:27,192.168.29.110,224.0.0.22,2,
19:28:27,13.89.179.10,192.168.29.110,6,
19:28:33,192.168.29.110,192.168.29.1,17,⚠️ ML Flagged as Anomaly
19:28:46,192.168.29.1,192.168.29.110,17,⚠️ ML Flagged as Anomaly
19:28:57,192.168.29.110,170.72.245.220,6,
19:28:57,170.72.245.220,192.168.29.110,6,
19:28:57,192.168.29.110,170.72.245.220,6,
19:28:57,192.168.29.110,170.72.245.220,6,
19:28:57,192.168.29.110,20.189.173.5,6,
19:28:57,192.168.29.110,20.189.173.5,6,
19:28:57,192.168.29.110,20.189.173.5,6,
19:28:57,192.168.29.110,20.189.173.5,6,
19:28:57,192.168.29.110,20.189.173.5,6,
19:28:57,192.168.29.110,20.189.173.5,6,
19:28:58,170.72.245.220,192.168.29.110,6,
19:28:58,170.72.245.220,192.168.29.110,6,
19:28:58,170.72.245.220,192.168.29.110,6,
19:28:58,170.72.245.220,192.168.29.110,6,
19:28:58,170.72.245.220,192.168.29.110,6,
19:28:58,170.72.245.220,192.168.29.110,6,
19:28:58,20.189.173.5,192.168.29.110,6,
19:28:58,20.189.173.5,192.168.29.110,6,
19:28:58,192.168.29.110,170.72.245.220,6,
19:28:58,192.168.29.110,170.72.245.220,6,
19:28:58,192.168.29.110,20.189.173.5,6,
19:28:58,170.72.245.220,192.168.29.110,6,
19:28:58,20.189.173.5,192.168.29.110,6,
19:28:58,192.168.29.110,20.189.173.5,6,
19:28:58,192.168.29.110,170.72.245.220,6,
19:28:58,192.168.29.110,170.72.245.220,6,
19:28:58,192.168.29.110,170.72.245.220,6,
19:28:58,170.72.245.220,192.168.29.110,6,
19:28:58,170.72.245.220,192.168.29.110,6,
19:28:58,170.72.245.220,192.168.29.110,6,
19:28:58,170.72.245.220,192.168.29.110,6,
19:28:58,170.72.245.220,192.168.29.110,6,
19:28:58,192.168.29.110,170.72.245.220,6,
19:28:58,192.168.29.110,170.72.245.220,6,
19:28:58,20.189.173.5,192.168.29.110,6,
19:28:58,170.72.245.220,192.168.29.110,6,
19:28:58,170.72.239.31,192.168.29.110,6,
19:28:58,192.168.29.110,170.72.239.31,6,
19:28:58,170.72.239.201,192.168.29.110,6,
19:28:58,192.168.29.110,170.72.239.201,6,
19:28:59,170.72.239.201,192.168.29.110,6,
19:28:59,192.168.29.110,13.89.179.10,6,
19:28:59,192.168.29.1,192.168.29.110,17,⚠️ ML Flagged as Anomaly
19:29:10,13.89.179.10,192.168.29.110,6,
19:29:10,192.168.29.110,13.89.179.10,6,
19:29:10,192.168.29.110,13.89.179.10,6,
19:29:10,13.89.179.10,192.168.29.110,6,
19:29:10,13.89.179.10,192.168.29.110,6,
19:29:10,13.89.179.10,192.168.29.110,6,
19:29:10,13.89.179.10,192.168.29.110,6,
19:29:10,13.89.179.10,192.168.29.110,6,
19:29:10,192.168.29.110,13.89.179.10,6,
19:29:11,192.168.29.110,13.89.179.10,6,
19:29:11,192.168.29.110,13.89.179.10,6,
19:29:11,192.168.29.110,13.89.179.10,6,
19:29:11,192.168.29.110,13.89.179.10,6,
19:29:11,192.168.29.110,13.89.179.10,6,
19:29:11,192.168.29.110,13.89.179.10,6,
19:29:11,13.89.179.10,192.168.29.110,6,
19:29:11,13.89.179.10,192.168.29.110,6,
19:29:11,13.89.179.10,192.168.29.110,6,
19:29:11,13.89.179.10,192.168.29.110,6,
19:29:11,13.89.179.10,192.168.29.110,6,
19:29:11,192.168.29.110,13.89.179.10,6,
19:29:11,20.207.73.82,192.168.29.110,6,
19:29:11,20.207.73.82,192.168.29.110,6,
19:29:11,20.207.73.82,192.168.29.110,6,
19:29:11,192.168.29.110,20.207.73.82,6,
19:29:11,192.168.29.110,20.207.73.82,6,
